year,winner,party,ec_won,total_ec,ec_percent,popular_vote_percent,popular_vote_margin

1900,McKinley,Republican,292,447,65.3,51.7,6.2
1904,Roosevelt,Republican,336,476,70.6,56.4,18.8
1908,Taft,Republican,321,483,66.5,51.6,8.5
1912,Wilson,Democratic,435,531,82,41.8,14.4
1916,Wilson,Democratic,277,531,52.2,49.3,3.1
1920,Harding,Democratic,404,531,76.1,60.4,26.2
1924,Coolidge,Republican,382,531,71.9,54,25.2
1928,Hoover,Republican,444,531,83.6,58.2,17.4
1932,Roosevelt,Democratic,472,531,88.9,57.4,17.8
1936,Roosevelt,Democratic,523,531,98.5,60.8,24.3
1940,Roosevelt,Democratic,449,531,84.6,54.7,9.9
1944,Roosevelt,Democratic,432,531,81.4,53.4,7.5
1948,Truman,Democratic,303,531,57.1,49.6,4.5
1952,Eisenhower,Republican,442,531,83.2,55.1,10.8
1956,Eisenhower,Republican,457,531,86.1,57.37,15.40
1960,Kennedy,Democratic,303,537,56.4,49.72,0.17
1964,Johnson,Democratic,486,538,90.3,61.05,22.58
1968,Nixon,Republican,301,538,55.9,43.42,0.70
1972,Nixon,Republican,520,538,96.7,60.67,23.15
1976,Carter,Democratic,297,538,55.2,50.08,2.07
1980,Reagan,Republican,489,538,90.9,50.75,9.74
1984,Reagan,Republican,525,538,97.6,58.77,18.21
1988,Bush,Republican,426,538,79.2,53.37,7.72
1992,Clinton,Democratic,370,538,68.8,43.01,5.56
1996,Clinton,Democratic,379,538,70.4,49.23,8.51
2000,Bush,Republican,271,538,50.4,47.87,0.51
2004,Bush,Republican,286,538,53.2,50.73,2.47
2008,Obama,Democratic,365,538,67.8,52.86,7.26
2012,Obama,Democratic,332,538,61.7,51.01,3.86
2016,Trump,Republican,304,538,56.5,45.93,0.77
2020,Biden,Democratic,306,538,56.9,51.25,4.45
2024,Trump,Republican,312,538,58.0,49.70,1.47
